snapshot_date,LoanGuid,Product Type,Branch Channel,Loan Purpose,LoanAmount,Funded D
2025-12-15,82511403,NONCONFORMING,Wholesale,Purchase,,2025-12-15
2025-12-15,82511385,NONCONFORMING,Wholesale,Purchase,,2025-12-10
2025-12-15,82511393,NONCONFORMING,Wholesale,Refinance CashOut,,2025-12-12
2025-12-15,82510530,2ND,Wholesale,Purchase,14175.0,2025-12-12
2025-12-15,82510534,NONCONFORMING,Wholesale,Refinance CashOut,292000.0,2025-12-11
2025-12-15,82510536,NONCONFORMING,Wholesale,Refinance CashOut,601300.0,2025-12-02
2025-12-15,82510541,NONCONFORMING,Wholesale,Refinance CashOut,522900.0,2025-12-02
2025-12-15,82510566,NONCONFORMING,Wholesale,Purchase,389000.0,2025-12-01
2025-12-15,62511566,NONCONFORMING,Retail,Refinance CashOut,,2025-12-11
2025-12-15,62511568,NONCONFORMING,Retail,Refinance,,2025-12-11
2025-12-15,62511571,NONCONFORMING,Retail,Refinance CashOut,,2025-12-11
2025-12-15,82511590,CONFORMING,Wholesale,Purchase,,2025-12-11
2025-12-15,82512029,FHA,Wholesale,Purchase,,2025-12-15
2025-12-15,82509499,NONCONFORMING,Wholesale,Purchase,611369.0,2025-12-10
2025-12-15,82509518,FHA,Wholesale,Refinance,636571.0,2025-12-15
2025-12-15,82511410,CONVENTIONAL BOND STD MI,Wholesale,Purchase,,2025-12-15
2025-12-15,82511415,2ND,Wholesale,Purchase,,2025-12-15
2025-12-15,82510589,CONFORMING,Wholesale,Refinance CashOut,400000.0,2025-12-15
2025-12-15,82510612,NONCONFORMING,Wholesale,Purchase,252000.0,2025-12-10
2025-12-15,82510642,NONCONFORMING,Wholesale,Purchase,551200.0,2025-12-08
2025-12-15,82510645,CONFORMING,Wholesale,Purchase,350000.0,2025-12-09
2025-12-15,82512073,NONCONFORMING,Wholesale,Purchase,,2025-12-08
2025-12-15,82510647,NONCONFORMING,Wholesale,Refinance CashOut,700000.0,2025-12-02
2025-12-15,82510649,NONCONFORMING,Wholesale,Purchase,810000.0,2025-12-02
2025-12-15,82510661,NONCONFORMING,Wholesale,Purchase,592000.0,2025-12-05
2025-12-15,82510666,CONFORMING,Wholesale,Purchase,420010.0,2025-12-11
2025-12-15,82510668,NONCONFORMING,Wholesale,Refinance CashOut,1033500.0,2025-12-03
2025-12-15,82510674,FHA BOND,Wholesale,Purchase,347400.0,2025-12-09
2025-12-15,82510675,2ND,Wholesale,Purchase,12600.0,2025-12-09
2025-12-15,82510680,NONCONFORMING,Wholesale,Purchase,221600.0,2025-12-12
2025-12-15,82511432,NONCONFORMING,Wholesale,Refinance CashOut,,2025-12-09
2025-12-15,82512092,NONCONFORMING,Wholesale,Refinance,,2025-12-12
2025-12-15,82511452,NONCONFORMING,Wholesale,Purchase,,2025-12-15
2025-12-15,82511467,FHA,Wholesale,Purchase,,2025-12-10
