year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction,training_mode
2024,2024-01,15,ML,11983351.0,20963224.33878807,32946575.33878807,36630894.0,-10.05795452661333,under,rolling
2024,2024-02,15,ML,20886738.0,25778356.445105243,46665094.44510524,57139314.0,-18.33102083601277,under,rolling
2024,2024-03,15,ML,30650752.0,33485388.50184687,64136140.501846865,60458258.0,6.08334183536493,over,rolling
2024,2024-04,15,ML,32266026.0,36251521.124995634,68517547.12499563,76054237.0,-9.909625252047912,under,rolling
2024,2024-05,15,ML,25721992.0,44195349.85606721,69917341.85606721,78177128.0,-10.565476572550464,under,rolling
2024,2024-06,15,ML,25040642.0,35871825.935786605,60912467.935786605,59910791.0,1.6719474389623814,over,rolling
2024,2024-07,15,ML,28576272.0,47449493.60934622,76025765.60934621,85519586.0,-11.10134044691679,under,rolling
2024,2024-08,15,ML,28669330.0,52127541.72648524,80796871.72648524,80721934.0,0.0928344041970519,over,rolling
2024,2024-09,15,ML,32316809.0,49850860.35132527,82167669.35132527,81277004.0,1.09583929954563,over,rolling
2024,2024-10,15,ML,40043907.0,82353075.50588855,122396982.50588857,126058918.0,-2.904939652196165,under,rolling
2024,2024-11,15,ML,38623946.0,66563444.48046541,105187390.4804654,114798743.0,-8.372349965133841,under,rolling
2024,2024-12,15,ML,33838526.0,63297873.15338439,97136399.1533844,94320370.0,2.9856001979046387,over,rolling
2025,2025-01,15,ML,34457740.0,40097508.71530326,74555248.71530326,79845963.0,-6.626151261644553,under,rolling
2025,2025-02,15,ML,34938631.0,37549921.40219512,72488552.40219513,78571970.0,-7.742478135402325,under,rolling
2025,2025-03,15,ML,31890735.0,71644036.04393576,103534771.04393576,102069492.0,1.4355700368683728,over,rolling
2025,2025-04,15,ML,46130009.0,63605785.57837744,109735794.57837744,109199528.0,0.4910887328903478,over,rolling
2025,2025-05,15,ML,53556084.0,65393787.3721822,118949871.3721822,118258736.0,0.5844264834542037,over,rolling
2025,2025-06,15,ML,51389232.0,80802496.4771457,132191728.4771457,120863998.0,9.37229502961312,over,rolling
2025,2025-07,15,ML,59876880.0,83469639.61881009,143346519.6188101,140961218.0,1.692168706154403,over,rolling
2025,2025-08,15,ML,53720271.0,81224653.60077097,134944924.60077095,130656102.0,3.2825275935225364,over,rolling
2025,2025-09,15,ML,66755927.0,77494143.13622425,144250070.13622427,139834285.0,3.1578701433802663,over,rolling
2025,2025-10,15,ML,74312326.0,101747856.65625384,176060182.65625384,175992168.0,0.0386464108186021,over,rolling
2025,2025-11,15,ML,62329701.0,77121723.37524557,139451424.37524557,123264369.0,13.131982507650342,over,rolling
2025,2025-12,15,ML,68191001.0,32035673.951996405,100226674.9519964,93412090.0,7.295185186410453,over,rolling
