Product Type,stage,rank,loan_count,total_value,avg_days_at_stage,median_days_at_stage,p25_days_at_stage,p75_days_at_stage,avg_probability,pct_over_30d,snapshot_date
Overall,Opened,0,57,0.0,13.4,12.0,7.0,19.0,0.0022,0.0,2025-12-15
Overall,Application,1,28,0.0,5.7,4.0,0.0,6.0,0.0653,0.0,2025-12-15
Overall,Submitted,2,79,0.0,3.7,3.0,0.0,5.0,0.0819,0.0,2025-12-15
Overall,Underwriting,3,28,3070125.0,8.8,9.0,3.8,12.5,0.0803,0.0,2025-12-15
Overall,Approved,4,425,122337511.0,35.8,22.0,10.0,49.0,0.2363,41.9,2025-12-15
Overall,Cond Review,5,16,4846303.0,1.5,0.0,0.0,0.8,0.8902,0.0,2025-12-15
Overall,Final UW,6,15,3102750.0,0.0,0.0,0.0,0.0,0.9353,0.0,2025-12-15
Overall,CTC,7,21,6502408.0,3.8,0.0,0.0,5.0,0.8951,0.0,2025-12-15
Overall,Docs,8,26,3835400.0,1.7,0.0,0.0,3.0,0.9818,0.0,2025-12-15
Overall,Fund Cond,10,11,2987175.0,1.5,0.0,0.0,0.0,0.9829,0.0,2025-12-15
NONCONFORMING,Application,1,6,0.0,4.2,3.5,,,,0.0,2025-12-15
NONCONFORMING,Submitted,2,50,0.0,2.8,3.0,,,,0.0,2025-12-15
NONCONFORMING,Underwriting,3,5,2770125.0,2.4,0.0,,,,0.0,2025-12-15
NONCONFORMING,Approved,4,281,97525528.0,36.8,23.0,,,,43.1,2025-12-15
NONCONFORMING,Cond Review,5,11,3277303.0,0.6,0.0,,,,0.0,2025-12-15
NONCONFORMING,Final UW,6,8,1952750.0,0.0,0.0,,,,0.0,2025-12-15
NONCONFORMING,CTC,7,15,5287408.0,3.1,0.0,,,,0.0,2025-12-15
NONCONFORMING,Docs,8,18,3560400.0,1.3,0.0,,,,0.0,2025-12-15
NONCONFORMING,Fund Cond,10,5,1511000.0,1.0,0.0,,,,0.0,2025-12-15
CONFORMING,Submitted,2,8,0.0,6.8,4.5,,,,0.0,2025-12-15
CONFORMING,Underwriting,3,2,0.0,7.0,7.0,,,,0.0,2025-12-15
CONFORMING,Approved,4,25,6841625.0,39.5,22.0,,,,44.0,2025-12-15
CONFORMING,CTC,7,2,765000.0,12.0,12.0,,,,0.0,2025-12-15
CONFORMING,Docs,8,2,275000.0,3.0,3.0,,,,0.0,2025-12-15
CONFORMING,Fund Cond,10,3,595000.0,3.7,0.0,,,,0.0,2025-12-15
FHA,Submitted,2,7,0.0,3.6,4.0,,,,0.0,2025-12-15
FHA,Underwriting,3,4,0.0,8.0,5.5,,,,0.0,2025-12-15
FHA,Approved,4,39,10118034.0,36.2,21.0,,,,35.9,2025-12-15
FHA,Cond Review,5,2,136000.0,1.5,1.5,,,,0.0,2025-12-15
FHA,CTC,7,3,450000.0,2.0,0.0,,,,0.0,2025-12-15
FHA,Fund Cond,10,2,381175.0,0.0,0.0,,,,0.0,2025-12-15
VA,Underwriting,3,2,300000.0,17.0,17.0,,,,0.0,2025-12-15
VA,Approved,4,3,441050.0,39.3,17.0,,,,33.3,2025-12-15
2ND,Submitted,2,11,0.0,4.5,5.0,,,,0.0,2025-12-15
2ND,Underwriting,3,6,0.0,10.3,10.0,,,,0.0,2025-12-15
2ND,Approved,4,53,5760102.0,32.7,20.0,,,,43.4,2025-12-15
2ND,Final UW,6,4,1150000.0,0.0,0.0,,,,0.0,2025-12-15
2ND,Docs,8,4,0.0,3.2,1.5,,,,0.0,2025-12-15
