Product Type,loan_count,median,mean,std,p10,p25,p75,p90,above_sla,above_sla_pct,sla_threshold_days
Overall,5660,29.0,33.1,18.4,17.0,22.0,38.0,52.0,868,15.3,45
2ND,709,34.0,37.8,18.6,21.0,26.0,44.0,59.200000000000045,166,23.4,45
CONFORMING,639,28.0,33.1,21.9,17.0,21.0,36.0,51.0,95,14.9,45
CONVENTIONAL BOND,10,30.5,30.9,10.1,19.5,26.0,34.25,42.8,1,10.0,45
CONVENTIONAL BOND STD MI,96,29.0,30.9,9.2,21.0,26.0,35.0,41.5,8,8.3,45
FHA,816,27.5,31.3,15.8,17.0,21.0,36.0,49.0,103,12.6,45
FHA BOND,233,31.0,33.2,13.7,21.0,25.0,39.0,48.0,31,13.3,45
NONCONFORMING,2911,28.0,32.6,18.8,16.0,22.0,37.0,52.0,431,14.8,45
VA,82,29.0,34.8,23.2,19.1,23.0,36.75,55.400000000000034,11,13.4,45
ZERO INTEREST PROGRAM,154,29.0,31.2,11.5,20.0,25.0,34.0,46.70000000000002,17,11.0,45
