LoanGuid,Product Type,Branch Channel,Loan Purpose,LoanAmount,Funded D,cycle_days
92301060003,NONCONFORMING,Wholesale,Refinance CashOut,430500.0,2023-01-31,25
92301060004,NONCONFORMING,Wholesale,Refinance CashOut,658000.0,2023-01-31,25
32301030001,FHA,Retail,Refinance CashOut,490000.0,2023-01-30,27
92301050003,FHA BOND,Wholesale,Purchase,376350.0,2023-01-31,26
92301050005,NONCONFORMING,Wholesale,Purchase,704598.0,2023-02-22,48
92301050006,2ND,Wholesale,Purchase,13650.0,2023-01-31,26
92301110000,FHA,Wholesale,Purchase,705415.0,2023-01-27,16
32301090000,NONCONFORMING,Retail,Purchase,175275.0,2023-02-10,32
92301090006,FHA,Wholesale,Purchase,585000.0,2023-03-17,29
92301130008,2ND,Wholesale,Refinance CashOut,75000.0,2023-02-24,42
92301140000,FHA,Wholesale,Purchase,467928.0,2023-02-22,39
92301200000,NONCONFORMING,Wholesale,Purchase,223935.0,2023-03-07,46
92301200008,CONFORMING,Wholesale,Refinance CashOut,552000.0,2023-04-13,83
92301170000,NONCONFORMING,Wholesale,Refinance CashOut,370000.0,2023-01-31,14
92301180000,FHA,Wholesale,Purchase,403712.0,2023-03-08,49
92301190003,FHA,Wholesale,Purchase,125910.0,2023-02-23,35
92301260004,FHA,Wholesale,Purchase,665850.0,2023-02-22,27
92301260005,2ND,Wholesale,Refinance CashOut,103000.0,2023-04-11,75
32301230003,CONFORMING,Retail,Purchase,176250.0,2023-03-01,37
92301250000,FHA,Wholesale,Refinance CashOut,255000.0,2023-02-28,34
32301250002,CONFORMING,Retail,Refinance,568200.0,2023-03-07,34
32301250004,CONFORMING,Retail,Refinance CashOut,427000.0,2023-02-27,33
92301260002,NONCONFORMING,Wholesale,Refinance CashOut,167050.0,2023-02-10,15
32301310004,CONFORMING,Retail,Refinance CashOut,283200.0,2023-03-07,35
32301310011,FHA,Retail,Refinance CashOut,385000.0,2023-04-21,80
92301270008,2ND,Wholesale,Refinance CashOut,148000.0,2023-04-11,74
92301280000,FHA,Wholesale,Purchase,447330.0,2023-03-31,31
32301300000,CONFORMING,Retail,Refinance CashOut,160000.0,2023-03-10,39
92301300001,2ND,Wholesale,Refinance CashOut,106000.0,2023-03-14,43
92301310013,FHA BOND,Wholesale,Purchase,390825.0,2023-02-23,23
92301310015,NONCONFORMING,Wholesale,Refinance CashOut,2520000.0,2023-03-28,56
92302010001,2ND,Wholesale,Purchase,14175.0,2023-02-23,23
92302010002,NONCONFORMING,Wholesale,Purchase,440000.0,2023-02-22,21
92302010003,2ND,Wholesale,Refinance CashOut,100000.0,2023-03-13,40
92302010008,NONCONFORMING,Wholesale,Purchase,237450.0,2023-03-09,36
92302010009,FHA,Wholesale,Purchase,670675.0,2023-03-10,37
