snapshot_date,LoanGuid,Product Type,Loan Purpose,Branch Channel,current_stage,stage_rank,days_at_stage,LoanAmount,status,elimination_reason,failure_archetype,ml_probability,expected_value,base_probability,is_at_risk,risk_reasons,recommended_action,counterfactual_probability,probability_delta,expected_value_uplift,recovery_rank,recovery_gap,momentum_rank,moneyball_difficulty,moneyball_quadrant,moneyball_is_movable,moneyball_cf_quadrant,velocity,velocity_band,f_approved_to_lock_speed,f_branch_channel,f_cltv,f_credit_score,f_days_at_stage,f_days_past_lock_expiry,f_days_remaining,f_days_since_lock,f_days_since_open,f_days_until_lock_expiry,f_fresh_lock_late_stage,f_is_locked,f_likely_lock_extended,f_loan_amount,f_loan_purpose,f_lock_already_expired,f_lock_expired_not_progressed,f_lock_expiring_not_progressed,f_lock_expiry_vs_month_end,f_lock_period,f_locked_at_early_stage,f_long_days_expiring_lock,f_ltv,f_note_rate,f_occupancy_type,f_product_type,f_stage_only_probability,f_stage_rank,f_stages_per_day,f_stale_at_approved,f_unlocked_at_late_stage,Loan Number,Loan Status,IsFunded,DecisionCreditScore,Borrower Experian Score,Borrower TransUnion Score,Borrower Equifax Score,Coborrower Experian Score,Coborrower TransUnion Score,Coborrower Equifax Score,Credit Score Type 1,Credit Score Type 2,Transm Qual Bottom R,LTV,LTV_N,CLTV,Gross Ltv R,Borrower Age,Loan Amount,Total Loan Amount,Purchase Price,Appraised Value,PurchasePrice,AppraisedValue,NoteRate,Note Rate,Term,Lien Position,Loan Type,Amortization Type,Doc Type,Bank Stms Income Type,Occupancy Type,Lock Period (days),Rate Lock Status,Loan Amount Locked,Has Prepayment Penalty,Loan Program Name,ARM - Rate Margin,Property State,Property City,Property County,Property Zip,ProdIsSpInRuralArea,Branch,Internal Assigned Loan Officer Name,Internal Assigned Processor Name,Internal Assigned Underwriter Name,Internal Assigned Manager Name,Internal Assigned Lender Account Executive Name,Originating Company Name,Interviewer Company Name,Agent Broker Company Name,Mortgage Originator,Warehouse Lender,Funding Bank Name,Commission - Borrower Points Percentage Of Loan Amount,Commission - Borrower Points Total,Commission - Rebate Fee Percentage of Loan Amount,Commission - Rebate Fee Total,Commission - Gross Profit Total,Commission - Net Profit,Approved Fee (YSP),GFE - Loan origination fee (total),GFE - Loan discount (total),GFE - Appraisal fee,GFE - Credit report fee,GFE - Underwriting fee,Discount Points,Application Fee,Processing fee,Lender Fees Collected,Investor Lock Projected Profit,Investor Lock Projected Profit Amt,day one lock price BE,Investor Lock Loan Num,Investor Lock Lp Investor Nm,Investor Purchase,Investor Lock Brok Comp Price,InvestorLockCommitmentT,Lead New Date,Loan Open Date,Pre-qual Date,Pre-approved Date,Registration,RegistrationD,Respa App D,HMDA App D,Loan Submitted D,DocumentCheckD,PreProcessingD,ProcessingD,Submitted D,Underwriting D,ConditionReviewD,FinalUnderwritingD,Approved D,Estimated Closing D,Clear To Close D,PreDocQCD,Docs D,DocsOrderedD,DocsDrawnD,DocsBackD,FundingConditionsD,Scheduled Funding D,Funded D,Loan Closed D,Recorded D,Purchase D,Loan Shipped D,Rate Lock D,Rate Lock Expiration D,Loan OnHold D,Loan Canceled D,Loan Denied D,Loan Suspended D,Withdrawn D,DaysOpenToSubmitted,DaysSubmittedToApproved,DaysApprovedToCTC,DaysCTCToFunded,DaysTotalSubmitToFund,DaysTotalOpenToFund,LockDurationDays,DaysSubmittedToUW,DaysUWToApproved,DaysDocsToFunded,WasCanceled,WasDenied,WasSuspended,WasOnHold,WasWithdrawn,HasRateLock,WasApproved,ReachedCTC,SubmittedMonth,SubmittedYear,SubmittedDayOfWeek,custLoan391,custLoan377,custLoan408,custLoan391ID,OnlyMon,TIL Disclosure / GFE Ordered Date,TIL Disclosure / GFE Due Date,TIL Disclosure / GFE Received Date,DidFund,Outcome,expected_funding,is_locked_flag,eliminated
2025-12-15,LEAD92301110000,,Purchase,Blank,Opened,0.0,1069,585000.0,dead,opened_stale,Opened-Only Ghost,0.001618894405853718,947.0532274244251,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,90.0,,1069.0,,16,,1069.0,,0.0,0,0.0,585000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,90.0,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301110000,Lead Cancelled,0,,,,,,,,,,,90.0,90.0,90.0,90.0,,585000.0,585000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,1.0,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,Tania Lozoya,Roxanne Yazdani,,,Zac Russell,"iCore Lending, Inc.","iCore Lending, Inc.",INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-11,2023-01-11,,,,,,,,,,,,,,,,2023-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,1.0,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301090000,,Purchase,Blank,Opened,0.0,1071,200000.0,dead,opened_stale,Opened-Only Ghost,0.001535080889578322,307.0161779156644,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,64.999,,1071.0,,16,,1071.0,,0.0,0,0.0,200000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,64.999,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301090000,Lead Cancelled,0,,,,,,,,,,,64.999,64.999,64.999,64.999,,200000.0,200000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,1.0,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,Melisa Escobar,,,,Derek Teklak,"Barrett Financial Group, L.L.C.","Barrett Financial Group, L.L.C.",INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-09,2023-01-09,,,,,,,,,,,,,,,,2023-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,1.0,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301090001,,Purchase,Blank,Opened,0.0,1071,200000.0,dead,opened_stale,Opened-Only Ghost,0.001535080889578322,307.0161779156644,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,64.999,,1071.0,,16,,1071.0,,0.0,0,0.0,200000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,64.999,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301090001,Lead Cancelled,0,,,,,,,,,,,64.999,64.999,64.999,64.999,,200000.0,200000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,1.0,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,Melisa Escobar,,,,Derek Teklak,"Barrett Financial Group, L.L.C.","Barrett Financial Group, L.L.C.",INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-09,2023-01-09,,,,,,,,,,,,,,,,2023-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,1.0,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301100000,,Purchase,Blank,Opened,0.0,1070,200000.0,dead,opened_stale,Opened-Only Ghost,0.0014967828887244067,299.35657774488135,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,22.999,,1070.0,,16,,1070.0,,0.0,0,0.0,200000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,22.999,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301100000,Lead Cancelled,0,,,,,,,,,,,22.999,22.999,22.999,22.999,,200000.0,200000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,1.0,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,,Roxanne Yazdani,,,Zac Russell,AZ Mortgage Group LLC,,INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-10,2023-01-10,,,,,,,,,,,,,,,,2023-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,1.0,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301190000,,Purchase,Blank,Opened,0.0,1061,2800000.0,dead,opened_stale,Opened-Only Ghost,0.0013229926423632043,3704.379398616972,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,70.0,,1061.0,,16,,1061.0,,0.0,0,0.0,2800000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,70.0,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301190000,Lead Cancelled,0,,,,,,,,,,,70.0,70.0,70.0,70.0,,2800000.0,2800000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,1.0,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,,,,,Derek Teklak,"Ramirez,Jaime DBA Infinity Financial & Realty",,INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-19,2023-01-19,,,,,,,,,,,,,,,,2023-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,1.0,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301230000,,Purchase,Blank,Opened,0.0,1057,750000.0,dead,opened_stale,Opened-Only Ghost,0.0015888182005980214,1191.613650448516,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,65.001,,1057.0,,16,,1057.0,,0.0,0,0.0,750000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,65.001,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301230000,Lead Cancelled,0,,,,,,,,,,,65.001,65.001,65.001,65.001,,750000.0,750000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,1.0,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,Melisa Escobar,,,,Derek Teklak,"Barrett Financial Group, L.L.C.","Barrett Financial Group, L.L.C.",INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-23,2023-01-23,,,,,,,,,,,,,,,,2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,1.0,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301260000,,Purchase,Blank,Opened,0.0,1054,637500.0,dead,opened_stale,Opened-Only Ghost,0.0016464451268669463,1049.6087683776782,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,85.0,,1054.0,,16,,1054.0,,0.0,0,0.0,637500.0,Purchase,0,0.0,0.0,,0,0.0,0.0,85.0,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301260000,Lead Cancelled,0,,,,,,,,,,,85.0,85.0,85.0,85.0,,637500.0,637500,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,1.0,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,Yesenia Ulloa,Roxanne Yazdani,,,Zac Russell,"iCore Lending, Inc.","iCore Lending, Inc.",INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-26,2023-01-26,,,,,,,,,,,,,,,,2023-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,1.0,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301310000,,Purchase,Blank,Opened,0.0,1049,441000.0,dead,opened_stale,Opened-Only Ghost,0.0016000989856886404,705.6436526886904,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,70.0,,1049.0,,16,,1049.0,,0.0,0,0.0,441000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,70.0,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301310000,Lead Cancelled,0,,,,,,,,,,,70.0,70.0,70.0,70.0,,441000.0,441000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,Yesenia Ulloa,Roxanne Yazdani,,,Zac Russell,"iCore Lending, Inc.","iCore Lending, Inc.",INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-31,2023-01-31,,,,,,,,,,,,,,,,2023-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301300000,,Purchase,Blank,Opened,0.0,1050,650000.0,dead,opened_stale,Opened-Only Ghost,0.0016464451268669463,1070.189332463515,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,90.001,,1050.0,,16,,1050.0,,0.0,0,0.0,650000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,90.001,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301300000,Lead Cancelled,0,,,,,,,,,,,90.001,90.001,90.001,90.001,,650000.0,650000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,1.0,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,Shawn Haghighi,Roxanne Yazdani,,,Charles Melzer,"Groves Capital, Inc.","Groves Capital, Inc.",INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-30,2023-01-30,,,,,,,,,,,,,,,,2023-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,1.0,0,,,,0,Failed,0.0,False,True
2025-12-15,LEAD92301310001,,Purchase,Blank,Opened,0.0,1049,2520000.0,dead,opened_stale,Opened-Only Ghost,0.0013911785900577514,3505.7700469455335,0.0,False,,,,,,,,,,,False,,0.0,Stalled,,Blank,70.0,,1049.0,,16,,1049.0,,0.0,0,0.0,2520000.0,Purchase,0,0.0,0.0,,0,0.0,0.0,70.0,0.0,Primary Residence,,0.0,0.0,0.0,0.0,0.0,LEAD92301310001,Lead Cancelled,0,,,,,,,,,,,70.0,70.0,70.0,70.0,,2520000.0,2520000,,,,,0.0,0.0,360,Other,Conventional,Fixed,0,,Primary Residence,0,Not Locked,0,False,,,,,,,0,TPO Wholesale,,,,,Derek Teklak,"Ramirez,Jaime DBA Infinity Financial & Realty",,INVALID FIELD ID OR FIELD DOES NOT SUPPORT EXPORT,0,Blank,,0,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,0,2023-01-31,2023-01-31,,,,,,,,,,,,,,,,2023-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0,,0,,,,0,Failed,0.0,False,True
