Product Type,loan_count,total_value,live_loans,live_value,projected_value,avg_probability,snapshot_date
NONCONFORMING,439,142951460.0,401,116064514.0,23070178.0,0.3044,2025-12-15
FHA,79,19689354.0,59,11085209.0,3004382.0,0.3165,2025-12-15
2ND,96,8906642.0,82,7685102.0,2507933.0,0.3179,2025-12-15
CONFORMING,62,18081775.0,43,8476625.0,2402878.0,0.299,2025-12-15
CONVENTIONAL BOND STD MI,7,2234130.0,5,925600.0,643846.0,0.5878,2025-12-15
VA,14,4574050.0,9,1436050.0,552297.0,0.2337,2025-12-15
FHA BOND,30,4907847.0,22,1071147.0,170277.0,0.2909,2025-12-15
ZERO INTEREST PROGRAM,16,322559.0,12,242425.0,92548.0,0.3912,2025-12-15
CONVENTIONAL BOND,2,450000.0,1,0.0,0.0,0.0172,2025-12-15
Unknown,363,111725180.0,74,0.0,0.0,0.0027,2025-12-15
