month,Product Type,pull_through_rate,funded_count,total_count
2024-01,2ND,0.2632,10,38
2024-01,CONFORMING,0.2143,6,28
2024-01,FHA,0.1111,4,36
2024-01,FHA BOND,0.1818,2,11
2024-01,NONCONFORMING,0.4699,39,83
2024-01,VA,0.1429,1,7
2024-02,2ND,0.3864,17,44
2024-02,CONFORMING,0.3148,17,54
2024-02,FHA,0.3226,20,62
2024-02,FHA BOND,0.3333,7,21
2024-02,NONCONFORMING,0.3871,36,93
2024-02,VA,0.3333,2,6
2024-03,2ND,0.4048,17,42
2024-03,CONFORMING,0.3333,18,54
2024-03,FHA,0.2727,18,66
2024-03,FHA BOND,0.5,9,18
2024-03,NONCONFORMING,0.4188,49,117
2024-03,VA,0.2857,2,7
2024-04,2ND,0.3,15,50
2024-04,CONFORMING,0.2794,19,68
2024-04,CONVENTIONAL BOND,0.0,0,9
2024-04,CONVENTIONAL BOND STD MI,0.0455,1,22
2024-04,FHA,0.2927,24,82
2024-04,FHA BOND,0.35,7,20
2024-04,NONCONFORMING,0.4959,61,123
2024-04,VA,0.0,0,6
2024-04,ZERO INTEREST PROGRAM,0.0417,1,24
2024-05,2ND,0.2308,9,39
2024-05,CONFORMING,0.28,21,75
2024-05,CONVENTIONAL BOND,0.0,0,16
2024-05,CONVENTIONAL BOND STD MI,0.0,0,59
2024-05,FHA,0.2895,22,76
2024-05,FHA BOND,0.1905,4,21
2024-05,NONCONFORMING,0.4286,66,154
2024-05,VA,0.2222,2,9
2024-05,ZERO INTEREST PROGRAM,0.0,0,68
2024-06,2ND,0.2051,8,39
2024-06,CONFORMING,0.1639,10,61
2024-06,CONVENTIONAL BOND,0.0588,1,17
2024-06,CONVENTIONAL BOND STD MI,0.0,0,58
2024-06,FHA,0.1765,12,68
2024-06,FHA BOND,0.1,2,20
2024-06,NONCONFORMING,0.4545,60,132
2024-06,ZERO INTEREST PROGRAM,0.0,0,68
2024-07,2ND,0.2542,15,59
2024-07,CONFORMING,0.3239,23,71
2024-07,CONVENTIONAL BOND,0.0588,1,17
2024-07,CONVENTIONAL BOND STD MI,0.0,0,58
2024-07,FHA,0.2875,23,80
2024-07,FHA BOND,0.1364,3,22
2024-07,NONCONFORMING,0.3972,56,141
2024-07,VA,0.1667,1,6
2024-07,ZERO INTEREST PROGRAM,0.0,0,64
2024-08,2ND,0.2812,18,64
2024-08,CONFORMING,0.1538,10,65
2024-08,CONVENTIONAL BOND,0.1176,2,17
2024-08,CONVENTIONAL BOND STD MI,0.1493,10,67
2024-08,FHA,0.28,21,75
2024-08,FHA BOND,0.1786,5,28
2024-08,NONCONFORMING,0.4248,65,153
2024-08,VA,0.0,0,10
2024-08,ZERO INTEREST PROGRAM,0.1233,9,73
2024-09,2ND,0.3194,23,72
2024-09,CONFORMING,0.2899,20,69
2024-09,CONVENTIONAL BOND,0.0,0,12
2024-09,CONVENTIONAL BOND STD MI,0.15,9,60
2024-09,FHA,0.2958,21,71
2024-09,FHA BOND,0.1923,5,26
2024-09,NONCONFORMING,0.3889,63,162
2024-09,VA,0.2857,4,14
2024-09,ZERO INTEREST PROGRAM,0.1094,7,64
2024-10,2ND,0.3187,29,91
2024-10,CONFORMING,0.3511,33,94
2024-10,CONVENTIONAL BOND,0.0769,1,13
2024-10,CONVENTIONAL BOND STD MI,0.0536,3,56
2024-10,FHA,0.3258,29,89
2024-10,FHA BOND,0.2368,9,38
2024-10,NONCONFORMING,0.4821,108,224
2024-10,VA,0.2778,5,18
2024-10,ZERO INTEREST PROGRAM,0.0492,3,61
2024-11,2ND,0.2931,34,116
2024-11,CONFORMING,0.2529,22,87
2024-11,CONVENTIONAL BOND,0.0,0,12
2024-11,CONVENTIONAL BOND STD MI,0.1538,10,65
2024-11,FHA,0.2294,25,109
2024-11,FHA BOND,0.1795,7,39
2024-11,NONCONFORMING,0.3761,82,218
2024-11,VA,0.1923,5,26
2024-11,ZERO INTEREST PROGRAM,0.0508,3,59
2024-12,2ND,0.25,24,96
2024-12,CONFORMING,0.1932,17,88
2024-12,CONVENTIONAL BOND,0.0,0,12
2024-12,CONVENTIONAL BOND STD MI,0.0893,5,56
2024-12,FHA,0.2632,30,114
2024-12,FHA BOND,0.2308,9,39
2024-12,NONCONFORMING,0.3655,72,197
2024-12,VA,0.25,6,24
2024-12,ZERO INTEREST PROGRAM,0.0339,2,59
2025-01,2ND,0.2727,24,88
2025-01,CONFORMING,0.1667,13,78
2025-01,CONVENTIONAL BOND,0.0,0,12
2025-01,CONVENTIONAL BOND STD MI,0.0,0,55
2025-01,FHA,0.2124,24,113
2025-01,FHA BOND,0.1818,8,44
2025-01,NONCONFORMING,0.3371,60,178
2025-01,VA,0.0,0,16
2025-01,ZERO INTEREST PROGRAM,0.0,0,60
2025-02,2ND,0.2133,16,75
2025-02,CONFORMING,0.1538,12,78
2025-02,CONVENTIONAL BOND,0.0,0,13
2025-02,CONVENTIONAL BOND STD MI,0.0377,2,53
2025-02,FHA,0.2477,27,109
2025-02,FHA BOND,0.1111,4,36
2025-02,NONCONFORMING,0.3371,59,175
2025-02,VA,0.1579,3,19
2025-02,ZERO INTEREST PROGRAM,0.0462,3,65
2025-03,2ND,0.2333,21,90
2025-03,CONFORMING,0.2718,28,103
2025-03,CONVENTIONAL BOND,0.0,0,12
2025-03,CONVENTIONAL BOND STD MI,0.0556,3,54
2025-03,FHA,0.177,20,113
2025-03,FHA BOND,0.1316,5,38
2025-03,NONCONFORMING,0.4029,83,206
2025-03,VA,0.1579,3,19
2025-03,ZERO INTEREST PROGRAM,0.0725,5,69
2025-04,2ND,0.1905,20,105
2025-04,CONFORMING,0.2079,21,101
2025-04,CONVENTIONAL BOND,0.0833,1,12
2025-04,CONVENTIONAL BOND STD MI,0.02,1,50
2025-04,FHA,0.248,31,125
2025-04,FHA BOND,0.2045,9,44
2025-04,NONCONFORMING,0.3806,94,247
2025-04,VA,0.1739,4,23
2025-04,ZERO INTEREST PROGRAM,0.1507,11,73
2025-05,2ND,0.25,29,116
2025-05,CONFORMING,0.1579,15,95
2025-05,CONVENTIONAL BOND,0.0,0,12
2025-05,CONVENTIONAL BOND STD MI,0.0566,3,53
2025-05,FHA,0.1875,27,144
2025-05,FHA BOND,0.1395,6,43
2025-05,NONCONFORMING,0.3705,103,278
2025-05,VA,0.25,6,24
2025-05,ZERO INTEREST PROGRAM,0.1333,10,75
2025-06,2ND,0.2126,27,127
2025-06,CONFORMING,0.1852,20,108
2025-06,CONVENTIONAL BOND,0.0,0,12
2025-06,CONVENTIONAL BOND STD MI,0.0926,5,54
2025-06,FHA,0.2416,36,149
2025-06,FHA BOND,0.1509,8,53
2025-06,NONCONFORMING,0.3316,126,380
2025-06,VA,0.0833,2,24
2025-06,ZERO INTEREST PROGRAM,0.1013,8,79
2025-07,2ND,0.2759,32,116
2025-07,CONFORMING,0.299,29,97
2025-07,CONVENTIONAL BOND,0.0,0,12
2025-07,CONVENTIONAL BOND STD MI,0.0566,3,53
2025-07,FHA,0.2437,29,119
2025-07,FHA BOND,0.1064,5,47
2025-07,NONCONFORMING,0.3429,120,350
2025-07,VA,0.08,2,25
2025-07,ZERO INTEREST PROGRAM,0.075,6,80
2025-08,2ND,0.283,30,106
2025-08,CONFORMING,0.1546,15,97
2025-08,CONVENTIONAL BOND,0.0,0,12
2025-08,CONVENTIONAL BOND STD MI,0.0392,2,51
2025-08,FHA,0.2075,22,106
2025-08,FHA BOND,0.1136,5,44
2025-08,NONCONFORMING,0.3609,122,338
2025-08,VA,0.0833,2,24
2025-08,ZERO INTEREST PROGRAM,0.1013,8,79
2025-09,2ND,0.2857,30,105
2025-09,CONFORMING,0.1927,21,109
2025-09,CONVENTIONAL BOND,0.0,0,12
2025-09,CONVENTIONAL BOND STD MI,0.0,0,43
2025-09,FHA,0.2233,23,103
2025-09,FHA BOND,0.2195,9,41
2025-09,NONCONFORMING,0.4251,156,367
2025-09,VA,0.0476,1,21
2025-09,ZERO INTEREST PROGRAM,0.0758,5,66
2025-10,2ND,0.2545,28,110
2025-10,CONFORMING,0.2432,27,111
2025-10,CONVENTIONAL BOND,0.0769,1,13
2025-10,CONVENTIONAL BOND STD MI,0.1951,8,41
2025-10,FHA,0.2,22,110
2025-10,FHA BOND,0.2222,10,45
2025-10,NONCONFORMING,0.4567,190,416
2025-10,VA,0.2,4,20
2025-10,ZERO INTEREST PROGRAM,0.3239,23,71
2025-11,2ND,0.3472,25,72
2025-11,CONFORMING,0.2656,17,64
2025-11,CONVENTIONAL BOND,0.0,0,10
2025-11,CONVENTIONAL BOND STD MI,0.2069,6,29
2025-11,FHA,0.3218,28,87
2025-11,FHA BOND,0.3214,9,28
2025-11,NONCONFORMING,0.3701,124,335
2025-11,VA,0.2857,4,14
2025-11,ZERO INTEREST PROGRAM,0.24,12,50
2025-12,2ND,0.4833,29,60
2025-12,CONFORMING,0.4828,28,58
2025-12,CONVENTIONAL BOND,0.0,0,10
