Product Type,stage,reached_count,funded_count,conversion_rate
Overall,Submitted,11227,5660,0.5041
Overall,Underwriting,8964,5492,0.6127
Overall,Approved,8194,5654,0.69
Overall,Cond Review,5654,5228,0.9247
Overall,CTC,5696,5623,0.9872
Overall,Docs,5650,5624,0.9954
Overall,Funded,5661,5661,1.0
NONCONFORMING,Submitted,5096,2910,0.571
NONCONFORMING,Underwriting,4305,2823,0.6557
NONCONFORMING,Approved,4190,2911,0.6947
NONCONFORMING,Cond Review,2963,2787,0.9406
NONCONFORMING,CTC,2928,2886,0.9857
NONCONFORMING,Docs,2899,2887,0.9959
NONCONFORMING,Funded,2911,2911,1.0
CONFORMING,Submitted,1372,639,0.4657
CONFORMING,Underwriting,987,614,0.6221
CONFORMING,Approved,881,637,0.723
CONFORMING,Cond Review,661,610,0.9228
CONFORMING,CTC,649,639,0.9846
CONFORMING,Docs,643,639,0.9938
CONFORMING,Funded,639,639,1.0
FHA,Submitted,1763,816,0.4628
FHA,Underwriting,1364,785,0.5755
FHA,Approved,1172,816,0.6962
FHA,Cond Review,873,781,0.8946
FHA,CTC,825,816,0.9891
FHA,Docs,820,816,0.9951
FHA,Funded,816,816,1.0
VA,Submitted,227,82,0.3612
VA,Underwriting,149,81,0.5436
VA,Approved,112,82,0.7321
VA,Cond Review,85,80,0.9412
VA,CTC,82,82,1.0
VA,Docs,82,82,1.0
VA,Funded,82,82,1.0
2ND,Submitted,1516,709,0.4677
2ND,Underwriting,1212,696,0.5743
2ND,Approved,1112,704,0.6331
2ND,Cond Review,620,570,0.9194
2ND,CTC,704,696,0.9886
2ND,Docs,701,696,0.9929
2ND,Funded,709,709,1.0
