stage,rank,loan_count,total_value,live_loans,live_value,avg_probability,snapshot_date
Opened,0,342,110418830.0,57,0.0,0.0022,2025-12-15
Application,1,32,1306350.0,28,0.0,0.0653,2025-12-15
Submitted,2,96,5228065.0,79,0.0,0.0819,2025-12-15
Underwriting,3,80,29375639.0,28,3070125.0,0.0803,2025-12-15
Approved,4,468,146175077.0,425,122337511.0,0.2363,2025-12-15
Cond Review,5,16,4846303.0,16,4846303.0,0.8902,2025-12-15
Final UW,6,15,3102750.0,15,3102750.0,0.9353,2025-12-15
CTC,7,21,6502408.0,21,6502408.0,0.8951,2025-12-15
Docs,8,26,3835400.0,26,3835400.0,0.9818,2025-12-15
Docs Back,9,1,125000.0,1,125000.0,0.9897,2025-12-15
Fund Cond,10,11,2987175.0,11,2987175.0,0.9829,2025-12-15
Sched Fund,11,1,180000.0,1,180000.0,0.5123,2025-12-15
