Product Type,band,loan_count,total_value,expected_value,avg_probability,snapshot_date
Overall,Fast Track,1,381175.0,375133.0,0.9841,2025-12-15
Overall,On Pace,24,11792275.0,11069040.0,0.9269,2025-12-15
Overall,Slow,158,92426228.0,14806709.0,0.2021,2025-12-15
Overall,Stalled,70,42386994.0,6193457.0,0.1267,2025-12-15
2ND,Fast Track,0,0.0,,0.0,2025-12-15
2ND,On Pace,4,1625000.0,,0.9582,2025-12-15
2ND,Slow,20,4041870.0,,0.1157,2025-12-15
2ND,Stalled,8,2018232.0,,0.2419,2025-12-15
CONFORMING,Fast Track,0,0.0,,0.0,2025-12-15
CONFORMING,On Pace,2,915000.0,,0.9865,2025-12-15
CONFORMING,Slow,12,6026250.0,,0.2618,2025-12-15
CONFORMING,Stalled,3,1535375.0,,0.0979,2025-12-15
FHA,Fast Track,1,381175.0,,0.9841,2025-12-15
FHA,On Pace,0,0.0,,0.0,2025-12-15
FHA,Slow,16,6631357.0,,0.2858,2025-12-15
FHA,Stalled,6,4072677.0,,0.1402,2025-12-15
FHA BOND,Fast Track,0,0.0,,0.0,2025-12-15
FHA BOND,On Pace,0,0.0,,0.0,2025-12-15
FHA BOND,Slow,2,506625.0,,0.0059,2025-12-15
FHA BOND,Stalled,2,564522.0,,0.3092,2025-12-15
NONCONFORMING,Fast Track,0,0.0,,0.0,2025-12-15
NONCONFORMING,On Pace,18,9252275.0,,0.9133,2025-12-15
NONCONFORMING,Slow,101,73057101.0,,0.1871,2025-12-15
NONCONFORMING,Stalled,50,33755138.0,,0.1034,2025-12-15
VA,Fast Track,0,0.0,,0.0,2025-12-15
VA,On Pace,0,0.0,,0.0,2025-12-15
VA,Slow,2,995000.0,,0.3958,2025-12-15
VA,Stalled,1,441050.0,,0.0068,2025-12-15
ZERO INTEREST PROGRAM,Fast Track,0,0.0,,0.0,2025-12-15
ZERO INTEREST PROGRAM,On Pace,0,0.0,,0.0,2025-12-15
ZERO INTEREST PROGRAM,Slow,3,242425.0,,0.2832,2025-12-15
ZERO INTEREST PROGRAM,Stalled,0,0.0,,0.0,2025-12-15
