year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction,training_mode
2024,1,0,Transition Tables,0.0,16819248.707626328,16819248.707626328,36630894.0,-54.08452573495387,under,fixed
2024,1,0,ML,0.0,28657449.502563387,28657449.502563387,36630894.0,-21.7669939953871,under,fixed
2024,1,1,Transition Tables,0.0,16819248.707626328,16819248.707626328,36630894.0,-54.08452573495387,under,fixed
2024,1,1,ML,0.0,28168859.82275269,28168859.82275269,36630894.0,-23.100812601645234,under,fixed
2024,1,8,Transition Tables,6501811.0,19824970.682406366,26326781.682406366,36630894.0,-28.12956822073093,under,fixed
2024,1,8,ML,6501811.0,26810605.74738121,33312416.74738121,36630894.0,-9.05923085748,under,fixed
2024,1,15,Transition Tables,11983351.0,22441924.15320469,34425275.153204694,36630894.0,-6.021198518374423,under,fixed
2024,1,15,ML,11983351.0,23579181.633529387,35562532.63352939,36630894.0,-2.916558264918712,under,fixed
2024,1,22,Transition Tables,24328531.0,17983421.03091126,42311952.03091126,36630894.0,15.508925419377587,over,fixed
2024,1,22,ML,24328531.0,11841657.982733585,36170188.982733585,36630894.0,-1.2576952592705355,under,fixed
2024,2,0,Transition Tables,0.0,22391191.960691977,22391191.960691977,57139314.0,-60.8129842778792,under,fixed
2024,2,0,ML,0.0,39803088.83512521,39803088.83512521,57139314.0,-30.340275287300074,under,fixed
2024,2,1,Transition Tables,525113.0,24049323.09413694,24574436.09413694,57139314.0,-56.992070128568685,under,fixed
2024,2,1,ML,525113.0,44502490.41976194,45027603.41976194,57139314.0,-21.1968078234857,under,fixed
2024,2,8,Transition Tables,11574053.0,26953277.21066294,38527330.21066294,57139314.0,-32.572991319666635,under,fixed
2024,2,8,ML,11574053.0,41513046.3712226,53087099.3712226,57139314.0,-7.0918153283698855,under,fixed
2024,2,15,Transition Tables,20886738.0,34221587.16297528,55108325.16297528,57139314.0,-3.55445085851874,under,fixed
2024,2,15,ML,20886738.0,33144873.603771944,54031611.60377194,57139314.0,-5.438816427211674,under,fixed
2024,2,22,Transition Tables,36195957.0,37674882.64364217,73870839.64364217,57139314.0,29.281985505885093,over,fixed
2024,2,22,ML,36195957.0,21577194.73336408,57773151.733364075,57139314.0,1.1092848145920609,over,fixed
2024,3,0,Transition Tables,0.0,33420166.595333826,33420166.595333826,60458258.0,-44.721916077479726,under,fixed
2024,3,0,ML,0.0,56659815.03101307,56659815.03101307,60458258.0,-6.282752918529225,under,fixed
2024,3,1,Transition Tables,3799205.0,33130900.758126713,36930105.75812671,60458258.0,-38.91635819522502,under,fixed
2024,3,1,ML,3799205.0,54729584.41401377,58528789.41401377,60458258.0,-3.1914061863744516,under,fixed
2024,3,8,Transition Tables,19457355.0,34223870.99262166,53681225.99262166,60458258.0,-11.20943975491047,under,fixed
2024,3,8,ML,19457355.0,46777951.65297261,66235306.65297261,60458258.0,9.555433524023481,over,fixed
2024,3,15,Transition Tables,30650752.0,31245409.74396108,61896161.74396108,60458258.0,2.378341340832349,over,fixed
2024,3,15,ML,30650752.0,34001848.45328092,64652600.45328092,60458258.0,6.937584032409466,over,fixed
2024,3,22,Transition Tables,37577936.0,44315458.480503455,81893394.48050345,60458258.0,35.45443945887997,over,fixed
2024,3,22,ML,37577936.0,28336626.7858418,65914562.7858418,60458258.0,9.02491233842993,over,fixed
2024,4,0,Transition Tables,0.0,40759416.667694,40759416.667694,76054237.0,-46.40743464733726,under,fixed
2024,4,0,ML,0.0,66023684.15470639,66023684.15470639,76054237.0,-13.188683814280605,under,fixed
2024,4,1,Transition Tables,872900.0,41044209.35631761,41917109.35631761,76054237.0,-44.88524109929916,under,fixed
2024,4,1,ML,872900.0,66265779.13821909,67138679.13821909,76054237.0,-11.722631392358734,under,fixed
2024,4,8,Transition Tables,19658609.0,38047282.66518402,57705891.66518402,76054237.0,-24.12534272721187,under,fixed
2024,4,8,ML,19658609.0,53607469.5651447,73266078.5651447,76054237.0,-3.6660132884579424,under,fixed
2024,4,15,Transition Tables,32266026.0,44091334.132003196,76357360.13200319,76054237.0,0.39856179479282416,over,fixed
2024,4,15,ML,32266026.0,42389647.05353109,74655673.05353108,76054237.0,-1.838903395308429,under,fixed
2024,4,22,Transition Tables,55637244.0,35405053.171966515,91042297.17196652,76054237.0,19.707067959890942,over,fixed
2024,4,22,ML,55637244.0,19819614.701313175,75456858.70131317,76054237.0,-0.7854635353015668,under,fixed
2024,5,0,Transition Tables,0.0,33420055.19997707,33420055.19997707,78177128.0,-57.250853216330654,under,fixed
