year,month,snapshot_day,method,already_funded,projected_pipeline,projected,actual,error_pct,direction
2024,1,1,Transition Tables,0.0,16819248.707626328,16819248.707626328,36630894.0,-54.08452573495387,under
2024,1,1,ML,0.0,26775317.2603016,26775317.2603016,36630894.0,-26.905094753347814,under
2024,1,8,Transition Tables,6501811.0,19824970.682406366,26326781.682406366,36630894.0,-28.12956822073093,under
2024,1,8,ML,6501811.0,26420020.472304583,32921831.472304583,36630894.0,-10.125503701043762,under
2024,1,15,Transition Tables,11983351.0,22441924.15320469,34425275.153204694,36630894.0,-6.021198518374423,under
2024,1,15,ML,11983351.0,23501154.541782867,35484505.54178287,36630894.0,-3.129567239656038,under
2024,1,22,Transition Tables,24328531.0,17983421.03091126,42311952.03091126,36630894.0,15.508925419377587,over
2024,1,22,ML,24328531.0,10806088.12975267,35134619.129752666,36630894.0,-4.084734787655836,under
2024,2,1,Transition Tables,525113.0,24049323.09413694,24574436.09413694,57139314.0,-56.992070128568685,under
2024,2,1,ML,525113.0,44606882.20836681,45131995.20836681,57139314.0,-21.014110865302282,under
2024,2,8,Transition Tables,11574053.0,26953277.21066294,38527330.21066294,57139314.0,-32.572991319666635,under
2024,2,8,ML,11574053.0,39730661.82317694,51304714.82317694,57139314.0,-10.211181703761891,under
2024,2,15,Transition Tables,20886738.0,34221587.16297528,55108325.16297528,57139314.0,-3.55445085851874,under
2024,2,15,ML,20886738.0,34328065.56164715,55214803.56164715,57139314.0,-3.368102106288593,under
2024,2,22,Transition Tables,36195957.0,37674882.64364217,73870839.64364217,57139314.0,29.281985505885093,over
2024,2,22,ML,36195957.0,21785537.479781404,57981494.479781404,57139314.0,1.473907229235206,over
2024,3,1,Transition Tables,3799205.0,33130900.758126713,36930105.75812671,60458258.0,-38.91635819522502,under
2024,3,1,ML,3799205.0,58529341.12075752,62328546.12075752,60458258.0,3.093519698760623,over
2024,3,8,Transition Tables,19457355.0,34223870.99262166,53681225.99262166,60458258.0,-11.20943975491047,under
2024,3,8,ML,19457355.0,52450926.66634297,71908281.66634297,60458258.0,18.9387257342793,over
2024,3,15,Transition Tables,30650752.0,31245409.74396108,61896161.74396108,60458258.0,2.378341340832349,over
2024,3,15,ML,30650752.0,36524537.5801028,67175289.5801028,60458258.0,11.110197022386588,over
2024,3,22,Transition Tables,37577936.0,44315458.480503455,81893394.48050345,60458258.0,35.45443945887997,over
2024,3,22,ML,37577936.0,28892911.174496427,66470847.17449643,60458258.0,9.945025499240199,over
2024,4,1,Transition Tables,872900.0,41044209.35631761,41917109.35631761,76054237.0,-44.88524109929916,under
2024,4,1,ML,872900.0,62695443.62044428,63568343.62044428,76054237.0,-16.41709110769952,under
2024,4,8,Transition Tables,19658609.0,38047282.66518402,57705891.66518402,76054237.0,-24.12534272721187,under
2024,4,8,ML,19658609.0,51287960.43369007,70946569.43369007,76054237.0,-6.715822507442852,under
2024,4,15,Transition Tables,32266026.0,44091334.132003196,76357360.13200319,76054237.0,0.39856179479282416,over
2024,4,15,ML,32266026.0,41454206.57285829,73720232.57285829,76054237.0,-3.068868375001528,under
2024,4,22,Transition Tables,55637244.0,35405053.171966515,91042297.17196652,76054237.0,19.707067959890942,over
2024,4,22,ML,55637244.0,18463302.3848318,74100546.3848318,76054237.0,-2.568812326876935,under
2024,5,1,Transition Tables,857000.0,34562578.218814984,35419578.218814984,78177128.0,-54.693170336450606,under
2024,5,1,ML,857000.0,59760229.233988844,60617229.233988844,78177128.0,-22.461683122985992,under
2024,5,8,Transition Tables,16418040.0,34970157.13828139,51388197.13828139,78177128.0,-34.26696726658801,under
2024,5,8,ML,16418040.0,53242513.35834325,69660553.35834324,78177128.0,-10.893946681767021,under
2024,5,15,Transition Tables,25721992.0,43940855.93543165,69662847.93543166,78177128.0,-10.89101158150545,under
2024,5,15,ML,25721992.0,49517878.25463151,75239870.25463152,78177128.0,-3.7571829773133656,under
2024,5,22,Transition Tables,46842060.0,42545534.86655262,89387594.86655262,78177128.0,14.33982950429264,over
2024,5,22,ML,46842060.0,30994997.066976786,77837057.06697679,78177128.0,-0.4350005452019347,under
2024,6,1,Transition Tables,0.0,30598596.25066153,30598596.25066153,59910791.0,-48.926402506250454,under
2024,6,1,ML,0.0,48225461.3759512,48225461.3759512,59910791.0,-19.504549062035917,under
2024,6,8,Transition Tables,9387145.0,35283385.21733008,44670530.21733008,59910791.0,-25.43825666175884,under
2024,6,8,ML,9387145.0,45922889.388901964,55310034.388901964,59910791.0,-7.6793454639883425,under
2024,6,15,Transition Tables,25040642.0,39089261.80724354,64129903.80724354,59910791.0,7.042325325405136,over
2024,6,15,ML,25040642.0,35579593.97605282,60620235.97605282,59910791.0,1.184168935530864,over
2024,6,22,Transition Tables,40648520.0,42082581.9623642,82731101.9623642,59910791.0,38.09048517213568,over
2024,6,22,ML,40648520.0,21486678.83919701,62135198.83919701,59910791.0,3.7128667508279265,over
2024,7,1,Transition Tables,2037399.0,38510503.47156961,40547902.47156961,85519586.0,-52.58641398057093,under
2024,7,1,ML,2037399.0,62772379.42019359,64809778.42019359,85519586.0,-24.216449761352223,under
2024,7,8,Transition Tables,13779490.0,39448675.36135652,53228165.36135652,85519586.0,-37.75909373397046,under
2024,7,8,ML,13779490.0,59017882.60560765,72797372.60560766,85519586.0,-14.876373927245556,under
2024,7,15,Transition Tables,28576272.0,45994856.89151892,74571128.89151892,85519586.0,-12.802280296914766,under
2024,7,15,ML,28576272.0,50775388.3306736,79351660.3306736,85519586.0,-7.212295987174675,under
2024,7,22,Transition Tables,54273148.0,37305908.17192001,91579056.17192,85519586.0,7.085476503499446,over
2024,7,22,ML,54273148.0,24457661.68643982,78730809.68643981,85519586.0,-7.9382707881212005,under
2024,8,1,Transition Tables,2463425.0,32351291.839915138,34814716.83991514,80721934.0,-56.87080931446074,under
2024,8,1,ML,2463425.0,58364289.7930261,60827714.7930261,80721934.0,-24.64536987799859,under
2024,8,8,Transition Tables,15512250.0,40476656.85329047,55988906.85329047,80721934.0,-30.63978515022885,under
2024,8,8,ML,15512250.0,58389926.43884401,73902176.43884401,80721934.0,-8.448456600601256,under
2024,8,15,Transition Tables,28669330.0,50168730.13771613,78838060.13771613,80721934.0,-2.333781871831602,under
2024,8,15,ML,28669330.0,52977378.07793118,81646708.07793118,80721934.0,1.1456292386790194,over
2024,8,22,Transition Tables,52196022.0,45808405.5650301,98004427.5650301,80721934.0,21.409910180088225,over
2024,8,22,ML,52196022.0,30110347.019485217,82306369.01948522,80721934.0,1.9628308453130228,over
2024,9,1,Transition Tables,0.0,43996438.82388705,43996438.82388705,81277004.0,-45.86852780168048,under
2024,9,1,ML,0.0,70924792.77929424,70924792.77929424,81277004.0,-12.736949827414607,under
2024,9,8,Transition Tables,14556340.0,45656530.56636197,60212870.56636197,81277004.0,-25.91647378345544,under
2024,9,8,ML,14556340.0,64163335.69570179,78719675.6957018,81277004.0,-3.1464352503670128,under
2024,9,15,Transition Tables,32316809.0,50244757.53518856,82561566.53518856,81277004.0,1.580474761580232,over
2024,9,15,ML,32316809.0,49309202.5371562,81626011.5371562,81277004.0,0.42940502230642563,over
2024,9,22,Transition Tables,48978811.0,54340401.61084862,103319212.61084862,81277004.0,27.11985866364934,over
2024,9,22,ML,48978811.0,29908519.683864363,78887330.68386436,81277004.0,-2.9401592068226887,under
2024,10,1,Transition Tables,3420065.0,53992163.02402231,57412228.02402231,126058918.0,-54.45603616554736,under
2024,10,1,ML,3420065.0,95524506.85721692,98944571.85721692,126058918.0,-21.5092645351621,under
2024,10,8,Transition Tables,20838040.0,62669897.79460258,83507937.79460257,126058918.0,-33.75483534246853,under
2024,10,8,ML,20838040.0,93354134.00267777,114192174.00267777,126058918.0,-9.41364893939692,under
2024,10,15,Transition Tables,40043907.0,77186781.77756782,117230688.77756782,126058918.0,-7.003256383996713,under
2024,10,15,ML,40043907.0,84996700.64117655,125040607.64117655,126058918.0,-0.8078050922374634,under
2024,10,22,Transition Tables,76450986.0,69744785.25186065,146195771.25186065,126058918.0,15.974159997042534,over
2024,10,22,ML,76450986.0,50158705.94306548,126609691.94306548,126058918.0,0.4369178728517084,over
2024,11,1,Transition Tables,3148655.0,53328676.701369695,56477331.701369695,114798743.0,-50.80317935069228,under
2024,11,1,ML,3148655.0,95075184.59458087,98223839.59458087,114798743.0,-14.43822725952594,under
