stage,stage_rank,n,p10,p25,median,p75,p90,mean,std
Opened,0,5661,18.0,23.0,29.0,40.0,57.0,35.09591944886063,22.385242945313745
Application,1,5657,17.0,22.0,29.0,38.0,52.0,33.14088739614637,18.425644338726787
Submitted,2,5660,17.0,22.75,29.0,39.0,56.0,34.70565371024735,22.186854556764867
Underwriting,3,5492,14.0,20.0,26.0,35.0,50.0,30.623270211216315,21.13800060077753
Approved,4,5654,13.0,18.0,24.0,33.0,46.0,27.773434736469756,17.3032635987791
Cond Review,5,5228,3.0,5.0,7.0,9.0,13.0,7.503251721499617,4.327534843205444
Final UW,6,4876,2.0,4.0,6.0,8.0,11.0,6.730106644790812,4.124493947999692
CTC,7,5620,2.0,3.0,5.0,7.0,10.0,6.0501779359430605,15.207140969606677
Docs,8,5624,1.0,2.0,4.0,6.0,7.0,4.029871977240398,2.872505188621278
Docs Back,9,4419,0.0,0.0,1.0,3.0,4.0,1.5924417288979407,2.0682661002220115
Fund Cond,10,5193,0.0,0.0,1.0,2.0,4.0,1.5064509917196225,1.9407654346216463
Sched Fund,11,5589,0.0,0.0,0.0,0.0,0.0,0.010914295938450528,0.17763973294907326
